z     eps_p     eps_z
8.393534 1.000001 1.000000
8.409281 1.000001 1.000000
8.425029 1.000001 1.000000
8.440777 1.000000 1.000000
8.456524 1.000000 1.000000
8.472272 0.999999 1.000000
8.488020 0.999999 1.000000
8.503768 0.999999 1.000000
8.519515 0.999999 1.000000
8.535263 0.999999 1.000000
8.551011 0.999999 1.000000
8.566758 1.000000 1.000000
8.582506 1.000000 1.000000
8.598254 1.000001 1.000000
8.614002 1.000001 1.000000
8.629749 1.000002 1.000000
8.645497 1.000002 1.000000
8.661245 1.000002 1.000000
8.676992 1.000002 1.000000
8.692740 1.000002 1.000000
8.708488 1.000001 1.000000
8.724236 1.000001 1.000000
8.739983 1.000000 1.000000
8.755731 1.000000 1.000000
8.771479 0.999999 1.000000
8.787227 0.999999 1.000000
8.802974 0.999999 1.000000
8.818722 0.999999 1.000000
8.834470 0.999999 1.000000
8.850217 0.999999 1.000000
8.865965 1.000000 1.000000
8.881713 1.000000 1.000000
8.897461 1.000001 1.000000
8.913208 1.000001 1.000000
8.928956 1.000002 1.000000
8.944704 1.000002 1.000000
8.960451 1.000002 1.000000
8.976199 1.000002 1.000000
8.991947 1.000002 1.000000
9.007695 1.000001 1.000000
9.023442 1.000001 1.000000
9.039190 1.000000 1.000000
9.054938 1.000000 1.000000
9.070685 1.000000 1.000000
9.086433 0.999999 1.000000
9.102181 0.999999 1.000000
9.117929 0.999999 1.000000
9.133676 0.999999 1.000000
9.149424 1.000000 1.000000
9.165172 1.000000 1.000000
9.180919 1.000001 1.000000
9.196667 1.000001 1.000000
9.212415 1.000002 1.000000
9.228163 1.000002 1.000000
9.243910 1.000002 1.000000
9.259658 1.000003 1.000000
9.275406 1.000002 1.000000
9.291153 1.000002 1.000000
9.306901 1.000002 1.000000
9.322649 1.000001 1.000000
9.338397 1.000001 1.000000
9.354144 1.000000 1.000000
9.369892 1.000000 1.000000
9.385640 1.000000 1.000000
9.401388 1.000000 1.000000
9.417135 1.000000 1.000000
9.432883 1.000000 1.000000
9.448631 1.000000 1.000000
9.464378 1.000001 1.000000
9.480126 1.000001 1.000000
9.495874 1.000002 1.000000
9.511622 1.000003 1.000000
9.527369 1.000003 1.000001
9.543117 1.000003 1.000001
9.558865 1.000003 1.000001
9.574612 1.000003 1.000001
9.590360 1.000003 1.000001
9.606108 1.000003 1.000001
9.621856 1.000002 1.000000
9.637603 1.000002 1.000000
9.653351 1.000001 1.000000
9.669099 1.000001 1.000000
9.684846 1.000001 1.000000
9.700594 1.000001 1.000000
9.716342 1.000001 1.000000
9.732090 1.000001 1.000000
9.747837 1.000001 1.000000
9.763585 1.000002 1.000000
9.779333 1.000002 1.000000
9.795080 1.000003 1.000001
9.810828 1.000004 1.000001
9.826576 1.000004 1.000001
9.842324 1.000004 1.000001
9.858071 1.000004 1.000001
9.873819 1.000004 1.000001
9.889567 1.000004 1.000001
9.905314 1.000004 1.000001
9.921062 1.000003 1.000001
9.936810 1.000003 1.000001
9.952558 1.000002 1.000000
9.968305 1.000002 1.000000
9.984053 1.000002 1.000000
9.999801 1.000002 1.000000
10.015548 1.000002 1.000000
10.031296 1.000002 1.000000
10.047044 1.000003 1.000001
10.062792 1.000003 1.000001
10.078539 1.000004 1.000001
10.094287 1.000005 1.000001
10.110035 1.000005 1.000001
10.125783 1.000006 1.000001
10.141530 1.000006 1.000001
10.157278 1.000006 1.000001
10.173026 1.000006 1.000001
10.188773 1.000006 1.000001
10.204521 1.000006 1.000001
10.220269 1.000006 1.000001
10.236017 1.000005 1.000001
10.251764 1.000005 1.000001
10.267512 1.000005 1.000001
10.283260 1.000005 1.000001
10.299007 1.000005 1.000001
10.314755 1.000005 1.000001
10.330503 1.000005 1.000001
10.346251 1.000006 1.000001
10.361998 1.000007 1.000001
10.377746 1.000007 1.000001
10.393494 1.000008 1.000002
10.409241 1.000009 1.000002
10.424989 1.000010 1.000002
10.440737 1.000010 1.000002
10.456485 1.000010 1.000002
10.472232 1.000010 1.000002
10.487980 1.000010 1.000002
10.503728 1.000010 1.000002
10.519475 1.000010 1.000002
10.535223 1.000009 1.000002
10.550971 1.000009 1.000002
10.566719 1.000009 1.000002
10.582466 1.000009 1.000002
10.598214 1.000009 1.000002
10.613962 1.000009 1.000002
10.629709 1.000010 1.000002
10.645457 1.000010 1.000002
10.661205 1.000011 1.000002
10.676953 1.000012 1.000002
10.692700 1.000013 1.000002
10.708448 1.000014 1.000003
10.724196 1.000015 1.000003
10.739944 1.000015 1.000003
10.755691 1.000016 1.000003
10.771439 1.000016 1.000003
10.787187 1.000016 1.000003
10.802934 1.000016 1.000003
10.818682 1.000016 1.000003
10.834430 1.000016 1.000003
10.850178 1.000016 1.000003
10.865925 1.000016 1.000003
